camera_ref,location_text,lat,lon,geom_source,confidence_radius_m,resolved_by,resolved_at
1,01 Chiman bhai Bridge,,,unset,,,
2,02 Janpath,,,unset,,,
3,03 O.N.G.C. Office,,,unset,,,
4,04 Paldi Circle,,,unset,,,
5,05 Visat teen Rasta,,,unset,,,
6,06 Timbavadi gate-Junagadh,,,unset,,,
7,07 hero-showroom-gir-somnath,,,unset,,,
8,08 majewadi-gate-junagadh,,,unset,,,
9,09 new-bypass-near-by-circle-junagadh-2,,,unset,,,
10,10 char-chowk-road-2-junagadh,,,unset,,,
11,11 dolatpara-junagadh,,,unset,,,
12,12 Tri Mandir Adalaj Tollnaka,,,unset,,,
13,13 CN Vidhyalaya,,,unset,,,
14,14 Delight,,,unset,,,
15,15 Suvidha park,,,unset,,,
16,16 Visat P2,,,unset,,,
17,17 Rajkot Bus Port CCTV,,,unset,,,
18,18 Rajkot CCTV,,,unset,,,
19,"19 KHAPARIA GRAM PANCHAYAT , TALUKA GANDEVI, DISTRICT NAVSARI",,,unset,,,
20,20 Mohanpura,,,unset,,,
21,23 Patan Dethali Char Rasta,,,unset,,,
22,28 BK Mervada tran Rasta,,,unset,,,
23,30 kheram,,,unset,,,
24,33 dehgam,,,unset,,,
25,34 dhanori,,,unset,,,
26,35 TANKAL,,,unset,,,
27,36 bilimora,,,unset,,,
28,37 bilimora,,,unset,,,
29,38 bilimora,,,unset,,,
30,Gandhidham Rambaugh p2,,,unset,,,
